,0
st_slope,0.20398313189762385
oldpeak,0.15417567284210207
max_heart_rate,0.11751337609179574
risk_score_simple,0.09559217962498102
chest_pain_type_4,0.08306854385377899
age,0.0811520737211095
resting_bp_s,0.07545891922403598
exercise_angina,0.07062297923157815
cholesterol,0.06383262576769858
resting_ecg,0.02572671506253279
chest_pain_type_3,0.012165807680290734
age_group_senior,0.010461274424948633
age_group_old,0.004444763084709504
age_group_young,0.0018019374928143015
fasting_blood_sugar,0.0
sex,0.0
