,0
st_slope,0.20371019431886717
oldpeak,0.14837239205573907
max_heart_rate,0.10402559204374019
exercise_angina,0.09353259317511765
risk_score_simple,0.08907512420180573
age,0.08654780392861659
chest_pain_type_4,0.08564768394127316
resting_bp_s,0.06828549278006144
cholesterol,0.06119366275140815
resting_ecg,0.02842846610847059
chest_pain_type_3,0.014070882278803716
age_group_senior,0.010744754004742216
age_group_old,0.004700737589819798
age_group_young,0.001664620821534431
fasting_blood_sugar,0.0
