,0
thal,0.09780141123961443
cp_4.0,0.07810715049869224
ca,0.07052031906581036
oldpeak,0.057782777193364866
thalach,0.04103939829538135
exang,0.03223519125729075
age,0.03094810047730118
sex,0.027119234561424937
cp_3.0,0.01995258971890766
risk_score_simple,0.017990041271821168
slope,0.017111027757009106
restecg,0.016247038801917857
trestbps,0.012353269324966795
age_group_senior,0.009395708383803915
chol,0.008505223924645056
age_group_old,0.003006767281565457
age_group_young,0.0008425326933121396
fbs,0.0
systolic,0.0
diastolic,0.0
cholesterol,0.0
heart_rate,0.0
