,0
st_slope,0.13578948001607785
chest_pain_type_4,0.08847155171993956
oldpeak,0.08636161588496259
exercise_angina,0.05913665647770782
max_heart_rate,0.05226854678927114
age,0.04204711207520897
risk_score_simple,0.0419175058316806
resting_bp_s,0.030102695689238533
resting_ecg,0.023353035936322663
cholesterol,0.019374406792036322
chest_pain_type_3,0.008301819559098568
age_group_senior,0.00690068292029449
age_group_old,0.0031774766904036555
age_group_young,0.0008043289310905986
fasting_blood_sugar,0.0
sex,0.0
